# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
2	exact solution	terminal loss	PF00388	PF00388 PF00017 PF00018 PF00387 PF00168
2	exact solution	terminal loss	PF00400 PF16300	PF08953 PF00400 PF16300
2	exact solution	terminal loss	PF00731	PF01259 PF00731
2	exact solution	terminal loss	PF00757 PF01030 PF14843 PF07714	PF01030 PF00757 PF01030 PF14843 PF07714
2	exact solution	terminal loss	PF00791 PF17217 PF00531	PF07679 PF00090 PF00791 PF17217 PF00531
2	exact solution	terminal loss	PF00859	PF10524 PF03165 PF00859
2	exact solution	terminal loss	PF00919 PF04055	PF00919 PF04055 PF01938
2	exact solution	terminal loss	PF01085	PF01085 PF01079
2	exact solution	terminal loss	PF01210	PF01210 PF07479
2	exact solution	terminal loss	PF01286	PF01286 PF05181
2	exact solution	terminal loss	PF01365 PF08454 PF00520	PF08709 PF02815 PF01365 PF08454 PF00520
2	exact solution	terminal loss	PF01826 PF12714 PF00094 PF08742 PF01826 PF12714 PF00094	PF08742 PF01826 PF12714 PF00094 PF08742 PF01826 PF12714 PF00094 PF08742 PF01826 PF12714 PF00094 PF08742 PF01826 PF12714 PF00094 PF08742 PF01826 PF12714 PF00094
2	exact solution	terminal loss	PF01835 PF07703 PF00207	PF01835 PF07703 PF00207 PF10569 PF07678 PF07677
2	exact solution	terminal loss	PF01841 PF00927	PF00868 PF01841 PF00927
2	exact solution	terminal loss	PF02259 PF08771 PF00454 PF02260	PF11865 PF02259 PF08771 PF00454 PF02260
2	exact solution	terminal loss	PF02833	PF01368 PF02833
2	exact solution	terminal loss	PF02882 PF01268	PF00763 PF02882 PF01268
2	exact solution	terminal loss	PF03068	PF08526 PF08527 PF03068
2	exact solution	terminal loss	PF03530 PF07885	PF03530 PF07885 PF02888
2	exact solution	terminal loss	PF03623	PF00373 PF07714 PF03623
2	exact solution	terminal loss	PF04086	PF04086 PF02881 PF00448
2	exact solution	terminal loss	PF04685	PF12215 PF04685
2	exact solution	terminal loss	PF04851	PF04851 PF00271 PF11648
2	exact solution	terminal loss	PF04998	PF04997 PF00623 PF04983 PF05000 PF04998
2	exact solution	terminal loss	PF05196	PF05196 PF01091
2	exact solution	terminal loss	PF07678 PF07677	PF01835 PF07703 PF00207 PF10569 PF07678 PF07677
2	exact solution	terminal loss	PF07885 PF02888	PF03530 PF07885 PF02888
2	exact solution	terminal loss	PF08073 PF00628 PF00385 PF00176	PF08073 PF00628 PF00385 PF00176 PF00271 PF06465 PF06461 PF08074
2	exact solution	terminal loss	PF08527 PF03068	PF08526 PF08527 PF03068
2	exact solution	terminal loss	PF10568	PF10568 PF17171
2	exact solution	terminal loss	PF10600 PF00595 PF00018 PF00625	PF10608 PF00595 PF10600 PF00595 PF00018 PF00625
2	exact solution	terminal loss	PF10608 PF00595 PF10600 PF00595	PF10608 PF00595 PF10600 PF00595 PF00018 PF00625
2	exact solution	terminal loss	PF10644	PF10644 PF14881
2	exact solution	terminal loss	PF11865 PF02259	PF11865 PF02259 PF08771 PF00454 PF02260
2	exact solution	terminal loss	PF12473 PF01302	PF00225 PF16183 PF00498 PF12423 PF12473 PF01302
2	exact solution	terminal loss	PF12513	PF00271 PF12513
2	exact solution	terminal loss	PF12783 PF01369 PF09324	PF16213 PF12783 PF01369 PF09324
2	exact solution	terminal loss	PF13242	PF13344 PF13242
2	exact solution	terminal loss	PF13880	PF13878 PF13880
2	exact solution	terminal loss	PF14698	PF00206 PF14698
2	exact solution	terminal loss	PF14703 PF02714	PF13967 PF14703 PF02714
2	exact solution	terminal loss	PF14775	PF14772 PF14775
2	exact solution	terminal loss	PF16471	PF09744 PF16471
2	exact solution	terminal loss	PF16886 PF00006	PF02874 PF16886 PF00006
2	exact solution	terminal loss	PF17205 PF00362 PF07974	PF17205 PF00362 PF07974 PF07965 PF08725
2	non-ambiguous solution	fission	PF00018 | PF08824 PF12026	PF00018 PF08824 PF12026
2	non-ambiguous solution	fission	PF00560 | PF13855	PF00560 PF13855
2	non-ambiguous solution	fission	PF00560 | PF13855 PF01582	PF00560 PF13855 PF01582
2	non-ambiguous solution	fission	PF01462 PF13855 | PF00560	PF01462 PF13855 PF00560
2	non-ambiguous solution	fission	PF13855 | PF00560	PF13855 PF00560
2	non-ambiguous solution	fission	PF14604 | PF08824 PF12026	PF14604 PF08824 PF12026
2	non-ambiguous solution	fusion	PF00047 PF13927 PF07679 PF13927	PF00047 PF13927 + PF07679 PF13927
2	non-ambiguous solution	fusion	PF00047 PF13927 PF07679 PF13927	PF00047 PF13927 PF07679 + PF13927
2	non-ambiguous solution	fusion	PF00096 PF13894 PF00096 PF12874 PF00096	PF00096 PF13894 + PF00096 PF12874 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13894 PF00096 PF12874 PF00096	PF00096 PF13894 PF00096 + PF12874 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13894 PF00096 PF13894 PF00096	PF00096 PF13894 + PF00096 PF13894 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13894 PF00096 PF13894 PF00096	PF00096 PF13894 PF00096 + PF13894 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13894 PF00096 PF13912 PF00096	PF00096 PF13894 + PF00096 PF13912 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13894 PF00096 PF13912 PF00096	PF00096 PF13894 PF00096 + PF13912 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13912 PF00096 PF12874 PF00096	PF00096 PF13912 + PF00096 PF12874 PF00096
